town_group,flat_type,remaining_lease_yrs,floor_area_sqf,predicted_start_psf,n_train_support,low_confidence
1,2_ROOM,40,484,533.5954555186627,267,FALSE
1,2_ROOM,45,484,538.234891880235,267,FALSE
1,2_ROOM,50,484,539.8612496745191,262,FALSE
1,2_ROOM,55,484,537.8942236415098,74,FALSE
1,2_ROOM,60,484,535.6283927625462,125,FALSE
1,2_ROOM,65,484,538.6068031326299,3,TRUE
1,2_ROOM,70,484,541.3691236664577,0,TRUE
1,2_ROOM,75,484,602.9481726084006,21,FALSE
1,2_ROOM,80,484,653.7443185872079,54,FALSE
1,2_ROOM,85,484,660.3669998195967,834,FALSE
1,2_ROOM,90,484,687.4922275228375,1504,FALSE
1,2_ROOM,95,484,708.2632230813396,375,FALSE
1,3_ROOM,40,732,464.42228396762954,1764,FALSE
1,3_ROOM,45,732,471.6876901813502,4726,FALSE
1,3_ROOM,50,732,471.79895231922205,9335,FALSE
1,3_ROOM,55,732,476.14320149812863,10030,FALSE
1,3_ROOM,60,732,475.86776733672303,8396,FALSE
1,3_ROOM,65,732,475.08850727627635,289,FALSE
1,3_ROOM,70,732,473.54622450672537,76,FALSE
1,3_ROOM,75,732,576.2810262591756,184,FALSE
1,3_ROOM,80,732,652.8950485825728,226,FALSE
1,3_ROOM,85,732,658.6268567542337,2786,FALSE
1,3_ROOM,90,732,679.6917030189068,5802,FALSE
1,3_ROOM,95,732,684.270509948936,588,FALSE
1,4_ROOM,40,1022,503.97761283248235,19,TRUE
1,4_ROOM,45,1022,505.30967217334063,684,FALSE
1,4_ROOM,50,1022,494.7741870855997,4038,FALSE
1,4_ROOM,55,1022,487.62948656936555,5648,FALSE
1,4_ROOM,60,1022,493.9302871431417,14052,FALSE
1,4_ROOM,65,1022,509.302172106492,3917,FALSE
1,4_ROOM,70,1022,505.3046313350392,10622,FALSE
1,4_ROOM,75,1022,555.4313168627612,8341,FALSE
1,4_ROOM,80,1022,705.745751215176,3448,FALSE
1,4_ROOM,85,1022,716.7824891142392,9137,FALSE
1,4_ROOM,90,1022,698.7831440700528,17219,FALSE
1,4_ROOM,95,1022,705.2765359027484,1787,FALSE
1,5_ROOM,40,1184,538.5937296972523,1,TRUE
