Mall Name,Region,Latitude,Longitude
100 AM,Central,1.2746,103.8435
313@Somerset,Central,1.301,103.8384
Aperia Mall,Central,1.3105,103.8643
Bugis Junction,Central,1.2991,103.8554
Bugis+,Central,1.301,103.8553
City Square Mall,Central,1.3115,103.8567
Great World,Central,1.2933,103.832
ION Orchard,Central,1.3039,103.832
Marina Square,Central,1.2912,103.8572
Mustafa Centre,Central,1.3094,103.8555
Ngee Ann City,Central,1.3026,103.8345
Orchard Central,Central,1.3007,103.8396
Paragon,Central,1.3038,103.8355
Plaza Singapura,Central,1.3001,103.8448
Raffles City,Central,1.294,103.8534
Suntec City,Central,1.2935,103.8572
The Shoppes at Marina Bay Sands,Central,1.2841,103.8596
Tiong Bahru Plaza,Central,1.2863,103.8272
VivoCity,Central,1.2655,103.8221
Wisma Atria,Central,1.3038,103.833
Bedok Mall,East,1.3224,103.9297
Century Square,East,1.3524,103.9438
Changi City Point,East,1.3337,103.9619
Eastpoint Mall,East,1.3427,103.9531
i12 Katong,East,1.3051,103.9052
Parkway Parade,East,1.3014,103.9054
Paya Lebar Square,East,1.3188,103.8925
PLQ Mall (Paya Lebar Quarter),East,1.3175,103.8928
Tampines 1,East,1.3543,103.945
Tampines Mall,East,1.3526,103.9447
White Sands,East,1.3725,103.9496
AMK Hub,North,1.3694,103.8484
Canberra Plaza,North,1.4431,103.8297
Causeway Point,North,1.4357,103.7855
Northpoint City,North,1.4296,103.8361
Sembawang Shopping Centre,North,1.4407,103.8251
Sun Plaza,North,1.4481,103.8179
Compass One,North-East,1.3917,103.8953
Hougang Mall,North-East,1.3725,103.8938
Hougang 1,North-East,1.3758,103.8794
NEX,North-East,1.3507,103.872
Oasis Terraces,North-East,1.4044,103.9125
Punggol Plaza,North-East,1.3986,103.9167
The Seletar Mall,North-East,1.3912,103.8764
Waterway Point,North-East,1.3612,103.902
Hillion Mall,West,1.3785,103.763
IMM,West,1.3345,103.747
Jem,West,1.3333,103.7434
Jurong Point,West,1.3396,103.7067
Lot One,West,1.3851,103.7449
The Clementi Mall,West,1.3149,103.7643
The Rail Mall,West,1.3621,103.7674
The Star Vista,West,1.3068,103.7884
Westgate,West,1.3337,103.7422
West Mall,West,1.3501,103.7492
