"PLN_AREA_N","AREA_SQKM","HDB_Total","HDB_Density_per_SQKM","Preschool_Count","MRT_Exit_Count","Hawker_Centre_Count","NEA_Market_Count","Shopping_Mall_Count"
"BEDOK",21.7339671328446,64565,2970.69557551823,164,27,10,10,1
"BOON LAY",8.28280168433207,0,0,0,0,0,0,0
"BUKIT BATOK",11.1401814958015,43387,3894.64031769606,75,12,1,0,1
"BUKIT MERAH",14.4611955350423,53875,3725.48727865896,73,20,15,14,2
"BUKIT PANJANG",9.01994116600224,36120,4004.46070936058,56,15,2,0,2
"BUKIT TIMAH",17.5149455120186,2493,142.335584103834,75,11,3,2,0
"CENTRAL WATER CATCHMENT",37.1586887931687,0,0,0,0,0,0,0
"CHANGI",41.4710971817453,0,0,2,2,1,1,0
"CHOA CHU KANG",6.11729400702906,50018,8176.49109925515,89,18,1,0,1
"CLEMENTI",9.5213281879322,25820,2711.80653479895,50,4,5,5,1
"HOUGANG",13.9330436828462,57979,4161.25875435109,121,6,3,2,3
"JURONG EAST",17.86005516719,24649,1380.11891728541,44,7,3,3,3
"JURONG WEST",14.6803555278318,77166,5256.41220702758,133,11,4,4,1
"PASIR RIS",15.803186305373,30080,1903.41361664343,72,2,1,0,1
"PIONEER",12.2198102296402,0,0,0,3,0,0,0
"PUNGGOL",9.37427403857822,49035,5230.80505201842,81,32,2,0,2
"QUEENSTOWN",21.6839907436506,31259,1441.57043643607,81,26,9,10,1
"SELETAR",10.8488738428957,0,0,1,0,0,0,0
"SEMBAWANG",12.636188733223,28584,2262.07447541892,72,9,1,0,3
"SENGKANG",10.6030477715814,68180,6430.2266167977,103,31,3,0,2
"SERANGOON",10.1005375753243,22085,2186.51728537241,77,11,2,2,1
"KALLANG",8.58470101516292,32257,3757.49836168148,52,23,7,7,2
"LIM CHU KANG",17.4953718638353,0,0,0,0,0,0,0
"NORTH-EASTERN ISLANDS",67.2505281982418,0,0,0,0,0,0,0
"NOVENA",8.96801205376767,8370,933.317211196607,47,4,3,3,0
"SIMPANG",8.2831951986444,0,0,0,0,0,0,0
"SOUTHERN ISLANDS",7.12618756511244,0,0,4,0,0,0,0
"SUNGEI KADUT",17.5890739678792,0,0,0,4,0,0,0
"TOA PAYOH",8.1802120577316,39272,4800.85353812824,73,20,7,6,0
"TUAS",47.6951911575361,0,0,0,7,0,0,0
"WESTERN ISLANDS",45.8104478455431,0,0,0,0,0,0,0
"WESTERN WATER CATCHMENT",69.7483324577058,0,0,1,0,0,0,0
"WOODLANDS",13.6125123024651,72965,5360.14207948863,124,22,3,2,1
"RIVER VALLEY",1.47569815077028,0,0,13,6,0,0,0
"ROCHOR",1.58846118889964,0,0,11,13,3,3,2
"SINGAPORE RIVER",0.957584176408507,0,0,7,10,0,0,1
"STRAITS VIEW",1.1273018185382,0,0,0,6,0,0,0
"CHANGI BAY",1.97261510997029,0,0,0,0,0,0,0
"MARINE PARADE",6.13307130521283,7993,1303.26219967577,50,13,3,3,2
"DOWNTOWN CORE",5.08363541407003,229,45.0465034070293,19,63,3,3,6
"MARINA EAST",1.84404383445313,0,0,0,0,0,0,0
"MARINA SOUTH",1.63037556933297,0,0,0,4,0,0,0
"MUSEUM",0.82953976672315,0,0,2,14,0,0,1
"NEWTON",2.06871870785258,0,0,7,3,1,1,0
"ORCHARD",0.95752693877576,0,0,4,16,0,0,6
"OUTRAM",1.37318492956638,7605,5538.21982477006,16,16,5,5,0
"TAMPINES",20.7954316633371,72846,3502.98090365826,142,27,3,1,5
"TANGLIN",7.55229916659524,187,24.7606716676591,27,8,1,1,0
"TENGAH",7.36346726755815,0,0,0,0,0,0,0
"MANDAI",11.7673137933787,0,0,6,0,0,0,0
"BISHAN",7.60811448404738,20547,2700.66913991407,50,16,1,1,0
"ANG MO KIO",13.942588112168,50647,3632.53935299137,84,19,10,10,1
"GEYLANG",9.644799436432,30971,3211.16060568465,81,24,10,10,2
"PAYA LEBAR",11.6852884157072,0,0,0,0,0,0,0
"YISHUN",21.0110406341308,66773,3177.99585288186,101,12,3,1,1
