street_name,query,lat,lon
AH HOOD RD,AH HOOD RD Singapore,1.3275185,103.8448225
BEACH RD,BEACH RD Singapore,1.2943831,103.8550535
BENDEMEER RD,BENDEMEER RD Singapore,1.3152937,103.8613752
BOON KENG RD,BOON KENG RD Singapore,1.3177131,103.8615634
CAMBRIDGE RD,CAMBRIDGE RD Singapore,1.3137832,103.847396
CRAWFORD LANE,CRAWFORD LANE Singapore,1.3049791,103.8625006
DORSET RD,DORSET RD Singapore,1.3134971,103.8504665
FARRER PK RD,FARRER PK RD Singapore,1.3123853,103.8515055
FRENCH RD,FRENCH RD Singapore,1.3081168,103.8603459
GEYLANG BAHRU,GEYLANG BAHRU Singapore,1.3214845,103.8719017
GLOUCESTER RD,GLOUCESTER RD Singapore,1.3121418,103.852976
JELLICOE RD,JELLICOE RD Singapore,1.3081699,103.8625205
JLN BAHAGIA,JLN BAHAGIA Singapore,1.3277416,103.8574596
JLN BATU,JLN BATU Singapore,1.301622,103.882454
JLN DUSUN,JLN DUSUN Singapore,1.3288939,103.8430174
JLN MA'MOR,JLN MA'MOR Singapore,1.3282909,103.856782
JLN RAJAH,JLN RAJAH Singapore,1.3279637,103.8528242
JLN TENTERAM,JLN TENTERAM Singapore,1.3284946,103.8595284
KALLANG BAHRU,KALLANG BAHRU Singapore,1.3140761,103.8654799
KENT RD,KENT RD Singapore,1.3163212,103.8521713
KG ARANG RD,KG ARANG RD Singapore,1.2978944,103.8783178
KG KAYU RD,KG KAYU RD Singapore,1.3031945,103.8843691
KING GEORGE'S AVE,KING GEORGE'S AVE Singapore,1.309623,103.8613288
LOR 3 GEYLANG,LOR 3 GEYLANG Singapore,1.3126289,103.8740695
LOR LIMAU,LOR LIMAU Singapore,1.3251199,103.8537791
MCNAIR RD,MCNAIR RD Singapore,1.317932,103.8569086
MOULMEIN RD,MOULMEIN RD Singapore,1.3194792,103.8529671
NTH BRIDGE RD,NTH BRIDGE RD Singapore,NA,NA
OWEN RD,OWEN RD Singapore,1.3173035,103.8496103
RACE COURSE RD,RACE COURSE RD Singapore,1.3114918,103.8528752
ST. GEORGE'S LANE,ST. GEORGE'S LANE Singapore,1.3221735,103.8616771
ST. GEORGE'S RD,ST. GEORGE'S RD Singapore,1.3220002,103.863341
TESSENSOHN RD,TESSENSOHN RD Singapore,1.3139361,103.8546515
TOWNER RD,TOWNER RD Singapore,1.3184586,103.860441
UPP BOON KENG RD,UPP BOON KENG RD Singapore,NA,NA
WHAMPOA DR,WHAMPOA DR Singapore,1.325019,103.8586642
WHAMPOA RD,WHAMPOA RD Singapore,1.3257022,103.8566634
WHAMPOA STH,WHAMPOA STH Singapore,1.3240794,103.8669967
WHAMPOA WEST,WHAMPOA WEST Singapore,1.3208011,103.8636521
