SUBZONE_N,n_txn,share,PLN_AREA_N,is_central
BENDEMEER,1833,0.28748431618569636,KALLANG,FALSE
BALESTIER,1804,0.28293601003764113,NOVENA,FALSE
KALLANG BAHRU,885,0.138801756587202,KALLANG,FALSE
KAMPONG JAVA,619,0.09708281053952321,KALLANG,FALSE
GEYLANG BAHRU,536,0.08406524466750313,KALLANG,FALSE
TANJONG RHU,323,0.05065872020075282,KALLANG,FALSE
LAVENDER,162,0.025407779171894605,KALLANG,FALSE
CITY HALL,119,0.01866373902132999,DOWNTOWN CORE,TRUE
CRAWFORD,71,0.011135508155583437,KALLANG,FALSE
KAMPONG BUGIS,24,0.0037641154328732747,KALLANG,FALSE
