Mall.Name,PLN_AREA_N
100 AM,NA
313@Somerset,NA
Aperia,KALLANG/WHAMPOA
Balestier Hill Shopping Centre,KALLANG/WHAMPOA
Bugis Cube,NA
Bugis Junction,NA
Bugis+,NA
Capitol Piazza,NA
Cathay Cineleisure Orchard,NA
The Centrepoint,NA
City Square Mall,KALLANG (RESIDUAL)
CityLink Mall,NA
Duo,NA
Far East Plaza,NA
Funan,NA
Great World City,NA
HDB Hub,TOA PAYOH
ION Orchard,NA
Junction 8,BISHAN
Knightsbridge,NA
Liat Towers,NA
Lucky Plaza,NA
Marina Bay Sands,NA
The Shoppes at Marina Bay Sands,NA
Marina Bay Link Mall,NA
Marina Square,NA
Millenia Walk,NA
Ngee Ann City,NA
Orchard Central,NA
Orchard Gateway,NA
Orchard Plaza,NA
Midpoint Orchard,NA
Palais Renaissance,NA
People's Park Centre,NA
People's Park Complex,NA
Plaza Singapura,NA
Raffles City,NA
Scotts Square,NA
Sim Lim Square,NA
Singapore Shopping Centre,NA
The South Beach,NA
Square 2,NA
Sunshine Plaza,NA
Suntec City,NA
Tanglin Mall,NA
Tanjong Pagar Centre,NA
Tekka Centre,NA
The Adelphi,NA
The Paragon,NA
Tiong Bahru Plaza,BUKIT MERAH
The Poiz,TOA PAYOH
Thomson Plaza,BISHAN
United Square,NOVENA (RESIDUAL)
Thomson V,BISHAN
Velocity@Novena Square,NOVENA (RESIDUAL)
Wheelock Place,NA
Wisma Atria,NA
Zhongshan Mall,KALLANG/WHAMPOA
Bedok Mall,BEDOK
Century Square,TAMPINES
Our Tampines Hub,TAMPINES
Changi City Point,TAMPINES
Downtown East,PASIR RIS
Djitsun Mall Bedok,BEDOK
Eastpoint Mall,TAMPINES
Jewel Changi Airport,CHANGI
Katong Shopping Centre,MARINE PARADE
Katong Square,MARINE PARADE
Kallang Wave Mall,KALLANG (RESIDUAL)
Leisure Park Kallang,KALLANG (RESIDUAL)
i12 Katong,MARINE PARADE
Parkway Parade,MARINE PARADE
Paya Lebar Square,GEYLANG
Roxy Square,MARINE PARADE
Singpost Centre,GEYLANG
Tampines 1,TAMPINES
Tampines Mall,TAMPINES
White Sands,PASIR RIS
City Plaza,GEYLANG
Elias Mall,PASIR RIS
Loyang Point,PASIR RIS
888 Plaza,WOODLANDS
Admiralty Place,WOODLANDS
AMK Hub,ANG MO KIO
Canberra Plaza,SEMBAWANG
Causeway Point,WOODLANDS
Woodlands Civic Centre,WOODLANDS
Broadway Plaza,ANG MO KIO
Djitsun Mall,BEDOK
Jubilee Square,ANG MO KIO
Junction Nine,YISHUN
Marsiling Mall,WOODLANDS
Northpoint City,YISHUN
Sembawang Shopping Centre,SEMBAWANG
Sun Plaza,SEMBAWANG
Vista Point,WOODLANDS
Wisteria Mall,YISHUN
Woodlands Mart,WOODLANDS
Woodlands North Plaza,WOODLANDS
Waterway Point,PUNGGOL
Compass One,SENGKANG
Hougang Mall,HOUGANG
Heartland Mall,HOUGANG
NEX,SERANGOON
Buangkok Square,HOUGANG
Greenwich V,SERANGOON
Hougang 1,HOUGANG
Hougang Green Shopping Mall,HOUGANG
Hougang Rivercourt,HOUGANG
myVillage At Serangoon Garden,SERANGOON
Northshore Plaza,PUNGGOL
Oasis Terraces,PUNGGOL
Punggol Plaza,PUNGGOL
Rivervale Mall,SENGKANG
Rivervale Plaza,SENGKANG
The Seletar Mall,SENGKANG
Upper Serangoon Shopping Centre,HOUGANG
Beauty World Centre,BUKIT TIMAH
Beauty World Plaza,BUKIT TIMAH
Bukit Panjang Plaza,BUKIT PANJANG
Bukit Timah Plaza,BUKIT TIMAH
Fajar Shopping Centre,BUKIT PANJANG
Greenridge Shopping Centre,BUKIT PANJANG
Hillion Mall,BUKIT PANJANG
HillV2,BUKIT BATOK
Junction 10,CHOA CHU KANG
Keat Hong Shopping Centre,CHOA CHU KANG
Limbang Shopping Centre,CHOA CHU KANG
Lot One,CHOA CHU KANG
Rail Mall,BUKIT PANJANG
Sunshine Place,CHOA CHU KANG
Teck Whye Shopping Centre,CHOA CHU KANG
West Mall,BUKIT BATOK
Yew Tee Point,CHOA CHU KANG
Yew Tee Square,CHOA CHU KANG
321 Clementi,CLEMENTI
The Clementi Mall,CLEMENTI
IMM,JURONG EAST
JCube,JURONG EAST
Jem,JURONG EAST
Westgate,JURONG EAST
Jurong Point,JURONG WEST
Pioneer Mall,JURONG WEST
The Star Vista,QUEENSTOWN
Alexandra Central,BUKIT MERAH
Anchorpoint,QUEENSTOWN
Boon Lay Shopping Centre,JURONG WEST
Grantral Mall,CLEMENTI
Fairprice Hub,PIONEER
Gek Poh Shopping Centre,JURONG WEST
Rochester Mall,QUEENSTOWN
Taman Jurong Shopping Centre,JURONG WEST
West Coast Plaza,CLEMENTI
Queensway Shopping Centre,QUEENSTOWN
Pasir Ris Mall,PASIR RIS
Lentor Modern,ANG MO KIO
Parc Point,TENGAH
